idle_time,ws_gap_diff,ds_gap_diff
755.93,1.0,143.89
759.32,210.08,119.05
762.71,329.87,250.8
766.1,220.26,158.86
769.49,1.0,166.59
772.88,67.31,91.05
776.27,241.79,82.88
779.66,43.7,87.8
783.05,158.22,169.91
786.44,190.67,87.79
789.83,19.89,158.28
793.22,106.01,336.27
796.61,1.0,215.26
800.0,8.29,94.98
800.0,85.47,247.7
805.71,1.0,85.81
811.43,271.92,1.0
817.14,1.0,23.91
822.86,62.64,1.0
828.57,118.72,87.69
834.29,248.77,123.75
840.0,1.0,288.63
845.71,218.99,152.77
851.43,102.72,97.26
857.14,2.58,201.2
862.86,145.97,1.0
868.57,118.71,140.04
874.29,37.83,192.68
880.0,103.89,1.0
885.71,57.44,228.21
891.43,106.39,146.82
897.14,160.33,70.58
902.86,251.79,174.53
908.57,1.0,337.47
914.29,304.67,127.74
920.0,1.0,133.53
925.71,74.39,61.94
931.43,147.51,22.06
937.14,115.89,189.25
942.86,24.64,19.79
948.57,65.22,111.74
954.29,35.86,56.0
960.0,25.36,150.86
965.71,168.39,135.53
971.43,118.28,205.12
977.14,12.44,49.57
982.86,170.84,72.8
988.57,110.77,1.13
994.29,160.49,53.8
1000.0,141.34,135.18
